Date,Open,High,Low,Close,Volume
07/27/2016,"19.00","19.00","18.55","18.85","4,915,600"
07/26/2016,"18.40","19.20","18.40","18.85","19,375,801"
07/25/2016,"18.25","18.30","18.00","18.10","8,331,800"
07/22/2016,"18.05","18.10","18.00","18.05","4,732,500"
07/21/2016,"18.00","18.20","18.00","18.10","21,423,199"
07/20/2016,"17.80","18.30","17.10","18.00","24,873,100"
07/19/2016,"17.30","17.95","17.25","17.65","31,495,000"
07/18/2016,"17.35","17.35","17.10","17.25","1,651,500"
07/15/2016,"17.40","17.40","17.30","17.35","9,025,600"
07/14/2016,"17.35","17.50","17.35","17.40","13,523,900"
07/13/2016,"17.30","17.40","17.20","17.35","2,749,800"
07/12/2016,"17.40","17.50","17.05","17.30","7,789,200"
07/11/2016,"17.50","17.75","17.30","17.45","14,813,400"
07/08/2016,"17.50","17.75","17.35","17.55","8,552,700"
07/06/2016,"17.40","17.60","17.15","17.55","9,339,600"
07/05/2016,"17.30","17.50","17.30","17.35","4,189,800"
07/04/2016,"17.55","17.55","17.25","17.45","6,498,100"
07/01/2016,"17.50","17.60","17.50","17.55","20,360,400"
06/30/2016,"17.60","18.00","17.50","17.75","20,741,400"
06/29/2016,"17.15","17.70","16.90","17.10","6,827,900"
06/28/2016,"17.45","17.45","17.00","17.15","9,092,000"
06/27/2016,"17.85","17.85","17.15","17.30","4,856,500"
06/24/2016,"17.85","17.85","17.25","17.45","2,587,300"
06/23/2016,"18.40","18.40","17.60","17.90","22,607,699"
06/22/2016,"18.30","18.35","17.65","18.05","9,016,900"
06/21/2016,"18.60","18.75","18.30","18.40","8,110,700"
06/20/2016,"18.60","18.90","18.30","18.70","20,036,400"
06/17/2016,"18.75","18.80","18.10","18.70","10,897,100"
06/16/2016,"18.25","19.00","18.20","18.60","32,593,100"
06/15/2016,"18.10","18.35","18.05","18.30","9,438,300"
06/14/2016,"18.00","18.25","18.00","18.10","2,087,000"
06/13/2016,"18.25","18.30","18.00","18.15","2,139,100"
06/10/2016,"18.20","18.35","18.10","18.25","6,693,800"
06/09/2016,"17.90","18.40","17.90","18.25","21,015,000"
06/08/2016,"17.50","18.05","17.30","17.90","17,668,100"
06/07/2016,"17.20","17.60","17.20","17.50","9,490,500"
06/06/2016,"16.95","17.25","16.90","17.15","11,409,500"
06/03/2016,"17.00","17.00","16.90","16.95","4,228,500"
06/02/2016,"17.00","17.10","16.90","17.00","10,125,400"
05/31/2016,"17.10","17.10","16.90","17.00","5,747,900"
05/30/2016,"17.20","17.20","17.05","17.05","2,567,200"
05/27/2016,"17.20","17.25","17.05","17.10","3,920,200"
05/26/2016,"17.20","17.30","17.00","17.25","3,477,400"
05/25/2016,"17.45","17.45","17.15","17.25","6,919,400"
05/24/2016,"17.10","17.45","17.10","17.35","6,277,400"
05/23/2016,"17.30","17.30","17.10","17.20","2,242,100"
05/20/2016,"17.30","17.40","17.15","17.35","5,033,500"
05/19/2016,"17.30","17.40","17.25","17.30","6,973,300"
05/18/2016,"17.05","17.30","17.05","17.15","1,536,700"
05/17/2016,"17.30","17.35","17.00","17.15","4,514,800"
05/16/2016,"17.40","17.40","17.30","17.35","3,338,600"
