Date,Open,High,Low,Close,Volume
08/23/2022,"29.85","30.00","29.15","29.80","2,585,600"
08/22/2022,"31.30","31.30","29.80","30.10","3,324,700"
08/19/2022,"31.10","31.30","30.70","31.25","6,192,400"
08/18/2022,"31.00","31.15","30.50","31.05","1,947,200"
08/17/2022,"31.00","31.80","30.90","31.10","7,573,100"
08/16/2022,"31.10","31.50","31.00","31.10","2,411,300"
08/15/2022,"31.00","31.80","30.90","31.15","5,086,300"
08/12/2022,"31.95","31.95","30.85","31.15","1,332,600"
08/11/2022,"31.50","32.50","31.10","31.80","2,415,600"
08/10/2022,"30.50","31.10","30.00","30.45","2,025,600"
08/08/2022,"30.50","30.60","29.95","30.00","12,711,700"
08/05/2022,"30.40","30.50","30.00","30.10","1,242,900"
08/04/2022,"29.75","30.45","29.60","30.00","4,305,000"
08/03/2022,"29.60","30.00","29.55","29.60","6,899,200"
08/02/2022,"29.95","30.10","29.50","29.75","8,482,600"
08/01/2022,"29.00","30.00","28.80","29.15","3,002,100"
07/29/2022,"30.40","30.40","29.50","29.95","1,843,600"
07/28/2022,"30.00","30.40","29.90","30.00","3,515,200"
07/27/2022,"29.50","29.95","29.00","29.55","568,100"
07/26/2022,"29.20","29.50","28.90","29.00","2,508,100"
07/25/2022,"29.50","30.00","29.00","29.50","2,313,900"
07/22/2022,"29.75","30.00","28.95","29.00","6,648,900"
07/21/2022,"28.95","29.50","28.20","28.55","3,783,100"
07/20/2022,"29.00","29.00","28.00","28.15","8,901,200"
07/19/2022,"29.80","29.80","28.50","28.90","2,678,200"
07/18/2022,"31.00","31.70","29.00","30.00","3,273,000"
07/15/2022,"32.95","33.00","29.50","31.45","2,575,700"
07/14/2022,"30.50","32.50","30.25","32.05","2,795,900"
07/13/2022,"30.00","30.50","29.95","30.00","6,032,300"
07/12/2022,"29.00","30.00","28.35","29.50","9,781,300"
07/08/2022,"28.00","28.70","28.00","28.20","4,897,700"
07/07/2022,"28.00","28.00","27.80","27.95","6,109,800"
07/06/2022,"27.95","28.70","27.50","27.75","11,302,300"
07/05/2022,"27.55","28.00","27.20","27.60","18,317,400"
07/04/2022,"25.95","27.55","25.95","26.55","7,884,000"
07/01/2022,"25.00","26.45","24.90","25.05","15,171,700"
06/30/2022,"25.25","26.50","24.50","24.95","8,554,700"
06/29/2022,"24.00","25.50","23.50","24.90","1,840,500"
06/28/2022,"23.30","24.00","23.15","23.35","4,773,300"
06/27/2022,"24.00","24.00","23.00","23.15","4,577,100"
06/24/2022,"23.60","24.00","23.00","23.10","36,145,199"
